date,orcid_count
2020-12-02,1235
2020-12-03,1238
2020-12-04,1238
2020-12-05,1238
2020-12-06,1238
2020-12-07,1238
2020-12-09,1239
2021-01-17,1275
2021-01-22,1282
2021-01-29,1328
2021-02-02,1332
2021-02-04,1337
2021-02-05,1340
2021-02-26,1392
2021-03-04,1402
2021-03-10,1414
2021-03-13,1422
2021-03-14,1423
2021-03-19,1432
2021-03-20,1432
2021-03-21,1432
2021-03-23,1441
2021-03-28,1449
2021-03-29,1448
2021-04-01,1447
2021-04-04,1447
2021-04-07,1454
2021-04-09,1458
2021-04-10,1458
2021-04-11,1458
2021-04-13,1462
2021-04-14,1461
2021-04-16,1462
2021-04-17,1462
2021-04-18,1461
2021-04-19,1462
2021-04-20,1463
2021-04-21,1463
2021-04-22,1466
2021-04-23,1466
2021-04-24,1466
2021-04-25,1465
2021-04-26,1469
2021-04-27,1471
2021-04-28,1473
2021-04-29,1475
2021-04-30,1476
2021-05-01,1477
2021-05-02,1479
2021-05-03,1480
2021-05-04,1481
2021-05-05,1481
2021-05-06,1482
2021-05-07,1481
2021-05-08,1480
2021-05-09,1481
2021-05-10,1482
2021-05-11,1483
2021-05-12,1483
2021-05-13,1485
2021-05-14,1485
2021-05-15,1485
2021-05-16,1486
2021-05-17,1487
2021-05-18,1489
2021-05-19,1489
2021-05-20,1491
2021-05-21,1492
2021-05-22,1492
2021-05-23,1492
2021-05-24,1492
2021-05-25,1491
2021-05-26,1491
2021-05-27,1496
2021-05-28,1497
2021-05-29,1499
2021-05-30,1499
2021-05-31,1500
2021-06-01,1501
2021-06-02,1503
2021-06-03,1506
2021-06-04,1506
2021-06-05,1506
2021-06-06,1506
2021-06-07,1507
2021-06-08,1507
2021-06-09,1507
2021-06-10,1510
2021-06-11,1512
2021-06-12,1514
2021-06-13,1514
2021-06-14,1518
2021-06-15,1521
2021-06-16,1522
2021-06-17,1525
2021-06-18,1527
2021-06-19,1527
2021-06-20,1528
2021-06-21,1530
2021-06-22,1533
2021-06-23,1534
2021-06-24,1538
2021-06-25,1539
2021-06-26,1541
2021-06-27,1541
2021-06-28,1541
2021-06-29,1545
2021-06-30,1546
2021-07-01,1548
2021-07-02,1550
2021-07-03,1550
2021-07-04,1550
2021-07-05,1551
2021-07-06,1550
2021-07-07,1550
2021-07-08,1550
2021-07-09,1551
2021-07-10,1551
2021-07-11,1551
2021-07-12,1550
2021-07-13,1551
2021-07-14,1551
2021-07-15,1551
2021-07-16,1552
2021-07-17,1553
2021-07-18,1553
2021-07-19,1553
2021-07-20,1554
2021-07-21,1560
2021-07-22,1561
2021-07-23,1559
2021-07-24,1559
2021-07-25,1559
2021-07-26,1561
2021-07-27,1562
2021-07-28,1562
2021-07-29,1563
2021-07-30,1564
2021-07-31,1563
2021-08-01,1563
2021-08-02,1562
2021-08-03,1563
2021-08-04,1565
2021-08-05,1566
2021-08-06,1568
2021-08-07,1567
2021-08-08,1567
2021-08-09,1568
2021-08-10,1570
2021-08-11,1570
2021-08-12,1570
2021-08-13,1571
2021-08-14,1571
2021-08-15,1571
2021-08-16,1571
2021-08-17,1573
2021-08-18,1574
2021-08-19,1576
2021-08-20,1577
2021-08-21,1577
2021-08-22,1577
2021-08-23,1577
2021-08-24,1578
2021-08-25,1579
2021-08-26,1581
2021-08-27,1581
2021-08-28,1581
2021-08-29,1581
2021-08-30,1582
2021-08-31,1582
2021-09-01,1583
2021-09-02,1585
2021-09-03,1585
2021-09-04,1586
2021-09-05,1586
2021-09-06,1588
2021-09-07,1589
2021-09-08,1588
2021-09-09,1591
2021-09-10,1593
2021-09-11,1593
2021-09-12,1594
2021-09-13,1596
2021-09-14,1596
2021-09-15,1596
2021-09-16,1598
2021-09-17,1599
2021-09-18,1599
2021-09-19,1600
2021-09-20,1602
2021-09-21,1602
2021-09-22,1603
2021-09-23,1604
2021-09-24,1603
2021-09-25,1604
2021-09-26,1605
2021-09-27,1608
2021-09-28,1612
2021-09-29,1616
2021-09-30,1616
2021-10-01,1619
2021-10-02,1621
2021-10-03,1623
2021-10-04,1623
2021-10-05,1624
2021-10-06,1627
2021-10-07,1628
2021-10-08,1630
2021-10-09,1630
2021-10-10,1630
2021-10-11,1631
2021-10-12,1631
2021-10-13,1629
2021-10-14,1629
2021-10-15,1630
2021-10-16,1630
2021-10-17,1630
2021-10-18,1631
2021-10-19,1632
2021-10-20,1632
2021-10-21,1635
2021-10-22,1636
2021-10-23,1639
2021-10-24,1639
2021-10-25,1641
2021-10-26,1642
2021-10-27,1642
2021-10-28,1641
2021-10-29,1641
2021-10-30,1641
2021-10-31,1641
2021-11-01,1642
2021-11-02,1642
2021-11-03,1643
2021-11-04,1644
2021-11-05,1647
2021-11-06,1647
2021-11-07,1646
2021-11-08,1649
2021-11-09,1652
2021-11-10,1652
2021-11-11,1658
2021-11-12,1658
2021-11-13,1658
2021-11-14,1658
2021-11-15,1659
2021-11-16,1661
2021-11-17,1661
2021-11-18,1661
2021-11-19,1663
2021-11-20,1663
2021-11-21,1663
2021-11-22,1664
2021-11-23,1663
2021-11-24,1665
2021-11-25,1665
2021-11-26,1666
2021-11-27,1666
2021-11-28,1667
2021-11-29,1667
2021-11-30,1667
2021-12-01,1668
2021-12-02,1669
2021-12-03,1670
2021-12-04,1670
2021-12-05,1670
2021-12-06,1670
2021-12-07,1670
2021-12-08,1670
2021-12-09,1671
2021-12-10,1673
2021-12-11,1674
2021-12-12,1675
2021-12-13,1677
2021-12-14,1677
2021-12-15,1676
2021-12-16,1676
2021-12-17,1676
2021-12-18,1678
2021-12-19,1678
2021-12-20,1678
2021-12-21,1679
2021-12-22,1680
2021-12-23,1681
2021-12-24,1681
2021-12-25,1681
2021-12-26,1681
2021-12-27,1681
2021-12-28,1681
2021-12-29,1681
2021-12-30,1682
2021-12-31,1683
2022-01-01,1683
2022-01-02,1684
2022-01-03,1684
2022-01-04,1684
2022-01-05,1683
2022-01-06,1683
2022-01-07,1684
2022-01-08,1684
2022-01-09,1684
2022-01-10,1684
2022-01-11,1685
2022-01-12,1686
2022-01-13,1686
