nct_id,start_date,registration_date,has_prospective_registration
NCT02947542,2016-04-30,2016-10-18,FALSE
NCT02936388,2016-01-31,2016-09-09,FALSE
NCT02930590,2016-09-30,2016-09-26,TRUE
NCT02906475,2016-11-30,2016-09-15,TRUE
NCT02893800,2016-06-30,2016-08-29,FALSE
NCT02888236,2016-09-30,2016-08-30,TRUE
NCT02869386,2017-02-01,2016-08-08,TRUE
NCT02861534,2016-09-20,2016-08-05,TRUE
NCT02850341,2016-07-31,2016-07-22,TRUE
NCT02839993,2016-04-30,2016-04-05,TRUE
NCT02808793,2016-06-30,2016-06-16,TRUE
NCT02799706,2017-09-25,2016-05-17,TRUE
NCT02795715,2016-04-30,2016-04-05,TRUE
NCT02795702,2016-04-30,2016-04-05,TRUE
NCT02794298,2016-04-30,2016-04-05,TRUE
NCT02794272,2016-04-30,2016-04-05,TRUE
NCT02794259,2016-04-30,2016-04-05,TRUE
NCT02793557,2016-01-31,2016-05-16,FALSE
NCT02758782,2016-09-30,2016-04-20,TRUE
NCT02755246,2016-04-30,2016-04-05,TRUE
NCT02747784,2017-07-25,2016-03-30,TRUE
NCT02741973,2016-03-31,2016-03-23,TRUE
NCT02740361,2017-02-15,2016-04-12,TRUE
NCT02733367,2016-03-04,2016-03-16,TRUE
NCT02726048,2016-04-30,2016-03-29,TRUE
NCT02720952,2015-03-31,2016-03-16,FALSE
NCT02685696,2013-10-31,2016-02-08,FALSE
NCT02676414,2015-08-31,2016-02-04,FALSE
NCT02669511,2015-11-12,2016-01-07,FALSE
NCT02667964,2015-11-30,2015-11-24,TRUE
NCT02665689,2016-01-18,2016-01-21,TRUE
NCT02664805,2016-02-29,2016-01-22,TRUE
NCT02662803,2015-01-31,2016-01-11,FALSE
NCT02658370,2011-08-31,2016-01-13,FALSE
NCT02649907,2015-10-31,2015-11-04,FALSE
NCT02633449,2016-02-29,2015-12-15,TRUE
NCT02633228,2014-12-31,2015-12-14,FALSE
NCT02633072,2014-09-30,2015-12-14,FALSE
NCT02631161,2015-12-31,2015-12-07,TRUE
NCT02615977,2015-04-30,2015-11-20,FALSE
NCT02599740,2015-10-31,2015-11-03,FALSE
NCT02576613,2015-10-31,2015-10-08,TRUE
NCT02569619,2014-04-30,2015-10-02,FALSE
NCT02566369,2015-11-30,2015-10-01,TRUE
NCT02557698,2014-11-30,2015-09-21,FALSE
NCT02552654,2015-09-30,2015-09-16,TRUE
NCT02543749,2014-07-31,2015-08-25,FALSE
NCT02541344,2014-06-30,2015-08-24,FALSE
NCT02541071,2013-11-30,2015-08-06,FALSE
NCT02523664,2014-01-31,2015-08-07,FALSE
NCT02519582,2015-08-31,2015-07-30,TRUE
NCT02509962,2015-07-31,2015-07-24,TRUE
NCT02509897,2015-07-31,2015-07-24,TRUE
NCT02507492,2015-01-31,2015-05-29,FALSE
