doi,year,pmid,oa_indicator,oa_status
10.1002/art.40196,2017,28666080,"Green Published, Other Gold",hybrid
10.1002/art.40208,2017,28692792,Bronze,closed
10.1002/art.40242,2017,29193819,Other Gold,hybrid
10.1002/art.40319,2017,28941216,Bronze,bronze
10.1002/bdr2.1042,2017,28605140,0,closed
10.1002/bies.201500087,2016,26778584,0,closed
10.1002/biot.201700334,2017,28857458,0,closed
10.1002/bit.26346,2017,28574582,"Green Published, Other Gold",hybrid
10.1002/bjs.10050,2016,26621029,Green Published,hybrid
10.1002/bjs.10475,2017,28218385,0,closed
10.1002/bmc.3554,2016,0,NA,closed
10.1002/brb3.421,2016,27110442,"DOAJ Gold, Green Published",gold
10.1002/brb3.435,2016,27099799,"DOAJ Gold, Green Published",gold
10.1002/brb3.445,2016,27096103,"DOAJ Gold, Green Published",gold
10.1002/brb3.490,2016,27458546,"DOAJ Gold, Green Published",gold
10.1002/brb3.538,2016,27781147,"DOAJ Gold, Green Published",gold
10.1002/brb3.614,2017,28239524,"DOAJ Gold, Green Published",gold
10.1002/bsl.2283,2017,28295575,0,closed
10.1002/btpr.2182,2016,26486457,0,closed
10.1002/ca.22650,2016,26475573,0,closed
10.1002/cam4.1122,2017,28639735,"DOAJ Gold, Green Published",gold
10.1002/cam4.1155,2017,28984053,"DOAJ Gold, Green Published",gold
10.1002/cam4.1161,2017,28879675,"DOAJ Gold, Green Published",gold
10.1002/cam4.566,2016,26645826,"DOAJ Gold, Green Published",gold
10.1002/cam4.739,2016,27139502,"DOAJ Gold, Green Published",gold
10.1002/cbic.201500559,2016,0,NA,closed
10.1002/cbic.201600650,2017,28240414,0,closed
10.1002/cbic.201700001,2017,28370937,Bronze,bronze
10.1002/cbic.201700066,2017,28346741,Bronze,bronze
10.1002/cbic.201700152,2017,28557180,0,closed
10.1002/cbic.201700220,2017,28489325,Bronze,bronze
10.1002/cbic.201700271,2017,28557173,0,closed
10.1002/cbin.10574,2016,26715207,0,closed
10.1002/ccd.26216,2016,26331782,0,closed
10.1002/ccd.26257,2016,26423017,0,closed
10.1002/ccd.26517,2017,27739165,0,closed
10.1002/ccd.26528,2017,27739170,0,closed
10.1002/ccd.26920,2017,28109054,0,closed
10.1002/ccd.26991,2017,28296003,0,closed
10.1002/ccr3.467,2016,26862416,"DOAJ Gold, Green Published",gold
10.1002/ccr3.905,2017,28469873,"DOAJ Gold, Green Published",gold
10.1002/chem.201605236,2017,28029199,0,closed
10.1002/chem.201605847,2017,28128483,0,closed
10.1002/cjp2.25,2016,0,NA,gold
10.1002/clc.22505,2016,26812168,Bronze,bronze
10.1002/clc.22516,2016,26848930,0,bronze
10.1002/clc.22650,2017,28333397,Bronze,bronze
10.1002/clc.22657,2017,28026025,NA,green
10.1002/clc.22710,2017,28467622,0,bronze
10.1002/clc.22782,2017,28846806,0,bronze
10.1002/cmdc.201600250,2016,27411730,Bronze,closed
10.1002/cmmi.1660,2016,26265484,Bronze,closed
10.1002/cncr.29925,2016,0,NA,closed
10.1002/cncr.29933,2016,26998677,"Green Published, Other Gold",hybrid
10.1002/cne.23865,2016,26223342,"Other Gold, Green Published",hybrid
10.1002/cne.24200,2017,28295296,0,closed
10.1002/cpcy.20,2017,28369765,NA,closed
10.1002/cphc.201600534,2016,27459330,0,closed
10.1002/cpmb.35,2017,28369676,NA,closed
10.1002/cpp.1975,2016,26450116,0,closed
10.1002/cpp.2081,2017,28326653,0,closed
10.1002/cpt.425,2016,27393744,Green Accepted,green
10.1002/cpt.523,2017,27709611,0,closed
10.1002/cpt.559,2017,28032910,0,closed
10.1002/cyto.a.22855,2016,27144459,Bronze,bronze
10.1002/cyto.a.22888,2016,27295550,Bronze,closed
10.1002/cyto.a.22894,2017,27362704,Bronze,closed
10.1002/cyto.a.22904,2017,27351740,Bronze,closed
10.1002/cyto.a.22906,2017,27403624,0,closed
10.1002/cyto.a.23016,2016,27813253,Bronze,bronze
10.1002/cyto.a.23168,2017,28715616,NA,bronze
10.1002/cyto.a.23250,2017,28960720,Bronze,bronze
10.1002/cyto.b.21484,2017,27684937,Bronze,bronze
10.1002/da.22462,2016,26697826,0,closed
10.1002/da.22659,2017,28556577,0,closed
10.1002/dmrr.2786,2016,26890984,Green Published,green
10.1002/dmrr.2884,2017,28063267,Green Published,green
10.1002/dta.1972,2017,27004438,0,closed
10.1002/ebm2.20,2016,0,NA,hybrid
10.1002/ehf2.12072,2016,27774273,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12109,2017,28217313,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12144,2017,28772053,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12162,2017,28772051,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12179,2017,28772041,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12184,2017,29154433,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12189,2017,28772049,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12209,2017,28960880,"DOAJ Gold, Green Published",gold
10.1002/ehf2.12237,2017,29154428,"DOAJ Gold, Green Published",gold
10.1002/ejhf.473,2016,26821594,Bronze,bronze
10.1002/ejhf.516,2016,27071916,0,bronze
10.1002/ejhf.524,2016,27135883,Bronze,bronze
10.1002/ejhf.586,2016,27338866,0,bronze
10.1002/ejhf.645,2016,27813305,Bronze,closed
10.1002/ejhf.670,2016,27910284,Bronze,closed
10.1002/ejhf.683,2017,27928880,"Green Published, Other Gold",bronze
10.1002/ejhf.780,2017,28271625,Bronze,bronze
10.1002/ejhf.800,2017,28586537,Bronze,bronze
10.1002/ejhf.809,2017,28345190,NA,bronze
10.1002/ejhf.862,2017,28516519,0,bronze
10.1002/ejhf.872,2017,28560717,Green Published,bronze
10.1002/ejhf.876,2017,28462519,0,bronze
10.1002/ejhf.933,2017,28836359,Bronze,bronze
10.1002/eji.201545765,2016,26507703,"Green Published, Other Gold",hybrid
10.1002/eji.201545892,2016,26578407,Bronze,bronze
10.1002/eji.201545918,2016,27111856,Bronze,bronze
10.1002/eji.201545963,2016,27861809,0,closed
10.1002/eji.201545989,2016,26909514,Bronze,bronze
10.1002/eji.201546104,2016,26711629,Bronze,bronze
10.1002/eji.201546194,2016,27325505,"Bronze, Green Accepted",bronze
10.1002/eji.201646297,2016,26909672,NA,hybrid
10.1002/eji.201646387,2017,27753073,Bronze,green
10.1002/eji.201646419,2016,27538750,Bronze,green
10.1002/eji.201646420,2016,27562840,Bronze,bronze
10.1002/eji.201646575,2017,27861815,0,bronze
10.1002/eji.201646632,2017,29023707,Bronze,bronze
10.1002/eji.201746937,2017,28294314,Bronze,bronze
10.1002/eji.201747031,2017,28654217,Bronze,bronze
10.1002/eji.201747063,2017,28815584,Green Published,hybrid
10.1002/ejic.201600325,2016,0,0,closed
10.1002/ejp.1008,2017,28182310,0,green
10.1002/ejp.881,2016,27161217,0,closed
10.1002/elps.201500518,2016,26763099,0,closed
10.1002/erv.2383,2016,26189926,0,closed
10.1002/erv.2425,2016,26695683,0,closed
10.1002/erv.2490,2017,27943533,0,closed
10.1002/erv.2501,2017,28217880,0,closed
10.1002/erv.2502,2017,28217879,0,closed
10.1002/gcc.22315,2016,26493284,0,closed
10.1002/gcc.22325,2016,26542757,0,green
10.1002/gcc.22359,2016,27015608,0,green
10.1002/gcc.22365,2016,27106868,0,closed
10.1002/gcc.22378,2016,27218826,0,closed
10.1002/gcc.22396,2017,27438523,0,closed
10.1002/gcc.22418,2017,27636548,0,closed
10.1002/gcc.22431,2017,27792260,0,closed
10.1002/gcc.22468,2017,28466543,0,closed
