year,no_sum_res_24,has_sum_res_24,perc_sum_res_24
2006,1,0,0
2007,15,0,0
2008,21,0,0
2009,30,1,0.03225806451612903
2010,23,1,0.041666666666666664
2011,38,4,0.09523809523809523
2012,29,1,0.03333333333333333
2013,33,0,0
2014,38,4,0.09523809523809523
2015,54,6,0.1
2016,30,4,0.11764705882352941
2017,27,2,0.06896551724137931
