nct_id,completion_date,results_first_submitted_date,days_compl_to_summary,summary_result_12_month,summary_result_24_month,study_type,overall_status
NCT02421172,2016-11-23,2017-11-21,363,TRUE,TRUE,Interventional,Completed
NCT02398877,2016-02-29,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02395874,2018-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02387697,2018-05-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT02379000,2018-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02372435,2018-05-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02371434,2017-11-01,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02364219,2016-05-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02358265,2018-06-15,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT02357706,2015-12-31,2017-04-12,468,FALSE,TRUE,Interventional,Completed
NCT02345278,2015-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02340299,2017-12-31,2019-05-06,491,FALSE,TRUE,Interventional,Terminated
NCT02339597,2015-11-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02338388,2014-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02314572,2015-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02299089,2016-06-30,2017-02-01,216,TRUE,TRUE,Interventional,Completed
NCT02296372,2016-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02295735,2018-07-31,2020-05-11,650,FALSE,TRUE,Interventional,Completed
NCT02253056,2015-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02251535,2015-09-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02232828,2018-06-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02227641,2017-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02223091,2015-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02216526,2015-04-30,2017-04-27,728,FALSE,TRUE,Interventional,Completed
NCT02213367,2016-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02204293,2018-05-05,2020-07-17,804,FALSE,FALSE,Interventional,Terminated
NCT02171416,2018-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02169115,2014-12-31,2015-10-28,301,TRUE,TRUE,Interventional,Completed
NCT02110407,2017-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02110056,2015-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02110043,2017-10-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT02102594,2019-08-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT02096913,2017-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02096068,2018-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02094287,2015-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02092974,2014-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02090686,2015-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02078947,2018-06-27,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02071615,2014-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02052960,2017-10-04,NA,NA,FALSE,FALSE,Interventional,Completed
NCT02019498,2016-07-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT02019134,2017-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01984788,2014-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01974011,2016-01-06,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01966783,2015-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01963793,2014-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01954836,2015-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01953549,2017-11-01,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01933191,2013-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01928823,2014-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01928810,2014-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01924702,2015-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01923493,2014-06-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01921972,2009-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01914965,2014-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01888055,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01888029,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01887899,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01878630,2018-05-17,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01865604,2014-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01864707,2015-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01845142,2014-04-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01845129,2014-04-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01840865,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01840839,2015-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01836588,2014-04-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01832740,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01829347,2018-09-30,2018-05-15,-138,TRUE,TRUE,Interventional,Terminated
NCT01815528,2014-02-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01811589,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01801787,2015-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01801280,2014-03-31,2014-12-17,261,TRUE,TRUE,Interventional,Completed
NCT01797887,2014-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01791790,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01788800,2013-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01785082,2015-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01782391,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01782365,2017-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01771211,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01770080,2015-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01740544,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01731249,2012-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01727362,2016-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01716832,2011-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01704872,2012-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01703273,2014-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01701843,2013-02-28,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01701713,2013-06-30,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01693393,2014-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01662232,2013-09-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01647880,2016-04-30,NA,NA,FALSE,FALSE,Interventional,Terminated
NCT01634204,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01625572,2015-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01622166,2013-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01605487,2014-10-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01601769,2012-07-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01601756,2012-12-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01600573,2017-03-31,NA,NA,FALSE,FALSE,Interventional,Unknown status
NCT01586702,2019-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01586091,2012-02-29,2016-01-29,1430,FALSE,FALSE,Interventional,Completed
NCT01582893,2013-07-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01582724,2015-03-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01580592,2015-02-28,2015-10-27,241,TRUE,TRUE,Interventional,Completed
NCT01578213,2018-11-28,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01566825,2009-05-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01541579,2016-11-30,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01540383,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01538355,2015-01-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01532453,2014-01-31,2015-07-16,531,FALSE,TRUE,Interventional,Terminated
NCT01530802,2009-12-31,NA,NA,FALSE,FALSE,Interventional,Completed
NCT01528839,2008-08-31,NA,NA,FALSE,FALSE,Interventional,Completed
