year,no_sum_res_12,has_sum_res_12,perc_sum_res_12
2006,9,0,0
2007,24,0,0
2008,23,0,0
2009,32,0,0
2010,21,0,0
2011,39,2,0.04878048780487805
2012,28,0,0
2013,31,0,0
2014,34,2,0.05555555555555555
2015,49,3,0.057692307692307696
2016,30,4,0.11764705882352941
2017,34,1,0.02857142857142857
2018,30,3,0.09090909090909091
