year,no_prosp_reg,has_prosp_reg,prop_prosp_reg
2006,11,11,0.5
2007,22,11,0.333
2008,14,9,0.391
2009,16,23,0.59
2010,25,23,0.479
2011,21,20,0.488
2012,13,21,0.618
2013,15,23,0.605
2014,15,28,0.651
2015,16,25,0.61
2016,11,25,0.694
2017,11,23,0.676
2018,9,26,0.743
2019,10,17,0.63
2020,8,25,0.758
2021,6,22,0.786
2022,5,22,0.815
2023,4,31,0.886
2024,0,28,1
